date,region,person,goods,units,amount,value
01 Jan 13,south,harry,desktops,1,471,471
02 Jan 13,west,mandy,tablets,1,570,570
02 Jan 13,midwest,sam,software,4,349,1396
02 Jan 13,west,rachel,laptops,1,584,584
02 Jan 13,west,lyn,servers,1,1697,1697
03 Jan 13,south,harry,software,1,482,482
03 Jan 13,south,jim,tablets,2,34,68
03 Jan 13,mountain,claire,tablets,1,118,118
03 Jan 13,west,lyn,tablets,1,995,995
03 Jan 13,midwest,sam,laptops,1,622,622
03 Jan 13,midwest,bill,tablets,1,806,806
04 Jan 13,midwest,charles,laptops,10,474,4740
04 Jan 13,west,mandy,software,10,315,3150
04 Jan 13,west,rachel,tablets,2,368,736
04 Jan 13,east,sunil,laptops,1,387,387
04 Jan 13,south,sue,tablets,1,476,476
04 Jan 13,midwest,charles,servers,2,2942,5884
04 Jan 13,west,lyn,desktops,1,293,293
04 Jan 13,east,sunil,tablets,1,972,972
05 Jan 13,midwest,sam,laptops,1,330,330
05 Jan 13,west,roger,laptops,1,349,349
05 Jan 13,east,andy,desktops,1,775,775
05 Jan 13,south,jim,desktops,1,231,231
05 Jan 13,east,dan,servers,1,2518,2518
05 Jan 13,east,joe,tablets,1,228,228
05 Jan 13,south,harry,desktops,1,682,682
05 Jan 13,west,mandy,laptops,1,933,933
05 Jan 13,south,harry,software,1,455,455
05 Jan 13,east,julie,laptops,2,341,682
06 Jan 13,east,dan,desktops,4,571,2284
06 Jan 13,midwest,bob,tablets,10,984,9840
06 Jan 13,west,mandy,laptops,1,901,901
06 Jan 13,mountain,james,software,2,233,466
06 Jan 13,midwest,charles,tablets,4,864,3456
06 Jan 13,south,debs,tablets,4,957,3828
06 Jan 13,midwest,charles,desktops,1,411,411
06 Jan 13,mountain,james,laptops,1,482,482
06 Jan 13,west,rachel,laptops,1,966,966
06 Jan 13,east,joe,laptops,10,314,3140
06 Jan 13,west,rachel,software,1,444,444
06 Jan 13,mountain,william,desktops,2,798,1596
07 Jan 13,midwest,charles,software,1,270,270
07 Jan 13,west,roger,laptops,1,527,527
07 Jan 13,west,rachel,desktops,1,595,595
07 Jan 13,south,fred,laptops,10,852,8520
07 Jan 13,west,roger,laptops,1,963,963
07 Jan 13,west,roger,servers,10,1380,13800
07 Jan 13,midwest,charles,tablets,1,726,726
07 Jan 13,mountain,claire,desktops,2,492,984
07 Jan 13,mountain,james,desktops,1,332,332
07 Jan 13,mountain,claire,laptops,1,887,887
07 Jan 13,south,debs,tablets,1,785,785
07 Jan 13,east,andy,servers,10,2755,27550
07 Jan 13,midwest,john,tablets,4,625,2500
07 Jan 13,east,sunil,laptops,1,651,651
08 Jan 13,east,andy,desktops,1,335,335
08 Jan 13,west,jack,desktops,2,389,778
08 Jan 13,east,joe,laptops,1,682,682
08 Jan 13,west,rachel,servers,1,2206,2206
08 Jan 13,south,tom,desktops,2,319,638
08 Jan 13,west,jack,tablets,1,31,31
08 Jan 13,south,harry,tablets,4,958,3832
08 Jan 13,south,sue,desktops,2,649,1298
08 Jan 13,south,debs,software,1,362,362
08 Jan 13,west,mandy,tablets,1,21,21
08 Jan 13,east,joe,software,2,133,266
08 Jan 13,south,fred,desktops,2,240,480
08 Jan 13,midwest,charles,laptops,1,360,360
08 Jan 13,east,kate,tablets,1,728,728
08 Jan 13,east,kate,servers,4,2644,10576
08 Jan 13,east,andy,laptops,1,991,991
09 Jan 13,west,mandy,laptops,4,961,3844
09 Jan 13,west,lyn,tablets,1,452,452
09 Jan 13,east,andy,software,1,343,343
09 Jan 13,west,lyn,software,1,285,285
09 Jan 13,west,lyn,laptops,1,795,795
09 Jan 13,south,jim,laptops,1,458,458
09 Jan 13,west,lyn,software,10,235,2350
09 Jan 13,west,mandy,tablets,1,957,957
09 Jan 13,west,jack,tablets,1,668,668
09 Jan 13,south,jim,laptops,2,992,1984
09 Jan 13,west,roger,laptops,1,659,659
09 Jan 13,south,harry,tablets,1,907,907
09 Jan 13,south,fred,tablets,10,750,7500
09 Jan 13,west,rachel,software,2,115,230
09 Jan 13,west,kevin,tablets,1,883,883
09 Jan 13,south,tom,tablets,10,128,1280
09 Jan 13,midwest,charles,software,1,292,292
09 Jan 13,midwest,charles,tablets,1,409,409
10 Jan 13,west,roger,tablets,2,615,1230
10 Jan 13,west,rachel,tablets,1,61,61
10 Jan 13,mountain,james,desktops,4,494,1976
10 Jan 13,west,rachel,desktops,1,590,590
10 Jan 13,midwest,sam,laptops,2,535,1070
10 Jan 13,east,sunil,tablets,1,443,443
10 Jan 13,mountain,claire,software,1,344,344
10 Jan 13,midwest,charles,tablets,1,554,554
10 Jan 13,west,roger,laptops,2,991,1982
10 Jan 13,midwest,sam,servers,2,1186,2372
10 Jan 13,west,rachel,servers,10,1278,12780
10 Jan 13,south,fred,desktops,2,531,1062
10 Jan 13,south,harry,software,1,155,155
10 Jan 13,east,julie,tablets,1,954,954
10 Jan 13,west,rachel,laptops,2,952,1904
10 Jan 13,east,sunil,tablets,1,553,553
10 Jan 13,east,julie,servers,1,1395,1395
10 Jan 13,south,tom,laptops,2,660,1320
10 Jan 13,west,kevin,desktops,1,225,225
10 Jan 13,midwest,bob,laptops,2,632,1264
11 Jan 13,south,tom,desktops,1,724,724
11 Jan 13,south,sue,laptops,1,998,998
11 Jan 13,south,tom,tablets,1,369,369
11 Jan 13,mountain,james,software,2,254,508
11 Jan 13,south,jim,desktops,1,774,774
11 Jan 13,west,rachel,servers,2,1398,2796
11 Jan 13,west,roger,servers,1,1375,1375
11 Jan 13,south,tom,laptops,1,808,808
11 Jan 13,east,sunil,tablets,10,58,580
11 Jan 13,west,jack,tablets,1,485,485
11 Jan 13,west,jack,software,4,275,1100
11 Jan 13,west,mandy,tablets,10,951,9510
11 Jan 13,west,roger,desktops,1,292,292
11 Jan 13,west,jack,desktops,1,647,647
11 Jan 13,west,kevin,servers,1,2866,2866
11 Jan 13,west,jack,tablets,1,617,617
11 Jan 13,midwest,bob,laptops,2,972,1944
11 Jan 13,midwest,bill,laptops,1,978,978
11 Jan 13,west,jack,software,1,462,462
11 Jan 13,mountain,claire,tablets,1,760,760
11 Jan 13,midwest,charles,tablets,1,880,880
11 Jan 13,east,dan,laptops,1,568,568
12 Jan 13,midwest,charles,tablets,1,248,248
12 Jan 13,east,sunil,software,1,300,300
12 Jan 13,west,mandy,desktops,2,388,776
12 Jan 13,east,joe,servers,1,2490,2490
12 Jan 13,mountain,claire,laptops,2,851,1702
12 Jan 13,east,andy,desktops,10,610,6100
12 Jan 13,east,joe,laptops,2,649,1298
12 Jan 13,east,julie,tablets,2,41,82
12 Jan 13,south,tom,software,2,221,442
12 Jan 13,west,roger,tablets,1,956,956
12 Jan 13,west,kevin,software,10,100,1000
12 Jan 13,midwest,charles,desktops,10,439,4390
12 Jan 13,south,harry,desktops,1,497,497
12 Jan 13,west,kevin,servers,2,1658,3316
12 Jan 13,east,dan,software,1,349,349
12 Jan 13,west,kevin,tablets,10,666,6660
12 Jan 13,south,harry,software,1,387,387
12 Jan 13,south,fred,software,1,398,398
12 Jan 13,west,lyn,tablets,1,274,274
12 Jan 13,mountain,claire,laptops,1,739,739
12 Jan 13,west,roger,tablets,10,57,570
12 Jan 13,west,jack,laptops,1,752,752
12 Jan 13,west,lyn,laptops,2,839,1678
13 Jan 13,midwest,bob,software,1,129,129
13 Jan 13,south,fred,laptops,1,348,348
13 Jan 13,west,lyn,tablets,1,799,799
13 Jan 13,west,jack,software,1,248,248
13 Jan 13,east,joe,tablets,1,473,473
13 Jan 13,midwest,charles,laptops,1,446,446
13 Jan 13,midwest,john,tablets,1,202,202
13 Jan 13,east,sunil,desktops,10,427,4270
